iter	MultiClass
0	1.079781859
1	1.062973746
2	1.047516398
3	1.034274164
4	1.02194174
5	1.011738277
6	0.9998882287
7	0.9899058305
8	0.9796096641
9	0.970576132
10	0.9620999223
11	0.954401274
12	0.9467826422
13	0.9416500249
14	0.935760328
15	0.9302896276
16	0.925342439
17	0.9206065728
18	0.9155904656
19	0.9109511121
20	0.9067224652
21	0.9023670944
22	0.8985391778
23	0.8952122676
24	0.89188308
25	0.8894603195
26	0.886849918
27	0.8842780138
28	0.881897119
29	0.8796900041
30	0.8771612485
31	0.8751136894
32	0.8728596199
33	0.8706342285
34	0.8690782391
35	0.8671516868
36	0.8649797399
37	0.863273362
38	0.8617031374
39	0.8600700368
40	0.8582451251
41	0.8569354024
42	0.8552709705
43	0.8536234093
44	0.8524323034
45	0.8508993003
46	0.8495530218
47	0.8485540974
48	0.8473048096
49	0.8461199675
50	0.8449367507
51	0.8440817243
52	0.8430779709
53	0.8421828076
54	0.8413382042
55	0.8405299445
56	0.8395656065
57	0.8386905236
58	0.8378416561
59	0.8369467793
60	0.8360545403
61	0.8354324868
62	0.8349307558
63	0.8344443728
64	0.8336520001
65	0.8329071815
66	0.8323055216
67	0.8317723884
68	0.8310808912
69	0.8301030007
70	0.8296751031
71	0.8286079573
72	0.8278430945
73	0.8272381583
74	0.8265977367
75	0.826052968
76	0.8253533419
77	0.8247560408
78	0.8238137764
79	0.8230393907
