iter	Passed	Remaining
0	12	1437
1	25	1517
2	38	1514
3	51	1490
4	63	1465
5	75	1430
6	87	1407
7	98	1383
8	110	1363
9	122	1345
10	133	1325
11	145	1311
12	158	1306
13	171	1297
14	184	1288
15	197	1283
16	209	1266
17	221	1253
18	234	1246
19	248	1242
20	260	1226
21	271	1210
22	283	1197
23	295	1181
24	306	1164
25	319	1155
26	331	1140
27	343	1129
28	354	1113
29	366	1099
30	377	1084
31	389	1070
32	402	1060
33	413	1046
34	425	1032
35	436	1018
36	448	1005
37	459	992
38	472	981
39	483	967
40	495	954
41	507	942
42	520	931
43	531	918
44	542	904
45	553	889
46	565	877
47	576	864
48	587	851
49	599	839
50	611	826
51	623	815
52	635	803
53	647	791
54	659	779
55	671	767
56	684	756
57	697	745
58	709	734
59	722	722
60	733	709
61	745	697
62	756	684
63	769	673
64	780	660
65	790	646
66	802	634
67	813	622
68	825	610
69	839	599
70	852	588
71	864	576
72	878	565
73	891	553
74	906	543
75	919	532
76	930	519
77	942	507
78	954	495
79	965	482
80	976	470
81	988	457
82	999	445
83	1011	433
84	1023	421
85	1035	409
86	1048	397
87	1053	382
88	1064	370
89	1076	358
90	1087	346
91	1098	334
92	1110	322
93	1125	311
94	1137	299
95	1148	287
96	1161	275
97	1173	263
98	1184	251
99	1196	239
100	1207	227
101	1220	215
102	1234	203
103	1245	191
104	1256	179
105	1269	167
106	1281	155
107	1293	143
108	1305	131
109	1316	119
110	1328	107
111	1340	95
112	1353	83
113	1365	71
114	1376	59
115	1388	47
116	1399	35
117	1411	23
118	1422	11
119	1434	0
