iter	TotalF1	MultiClass
0	0.5172386115	1.00263792
1	0.5599919861	0.937792206
2	0.5629264489	0.8932502042
3	0.564708019	0.8653136593
4	0.5673174838	0.8434944043
5	0.5700781477	0.82830989
6	0.5764699118	0.8138632291
7	0.5796166391	0.8039110685
8	0.57695422	0.8010952715
9	0.5818416516	0.7946824747
10	0.581119095	0.7900659889
11	0.5868518143	0.7843712795
12	0.5887590136	0.7817207916
13	0.5943239421	0.7772175354
14	0.5950912848	0.7756546563
15	0.5989650767	0.7712848437
16	0.5985803462	0.7710337517
17	0.6026296812	0.7686867602
18	0.6052290553	0.7664817335
19	0.6073250471	0.7651824893
20	0.6086735539	0.7637478664
21	0.6099180903	0.7626518874
22	0.6102158635	0.7625126484
23	0.6106488697	0.7617149679
24	0.6109594303	0.7611449272
25	0.6115178728	0.7605008498
26	0.6114701531	0.7605002378
27	0.6123926466	0.7595379675
28	0.6132500341	0.7587053794
29	0.6136126306	0.7582052499
30	0.6138130121	0.7581463557
31	0.6151059477	0.7567931831
32	0.6158828359	0.7560730765
33	0.6171577901	0.754990815
34	0.6185427695	0.7532694414
35	0.6191507798	0.752889325
36	0.6204721466	0.7515229707
37	0.6203674979	0.7503133544
38	0.6209959439	0.7497897138
39	0.6207778783	0.7491765131
40	0.6210689673	0.7485335131
41	0.6221353303	0.7469775177
42	0.6229586335	0.7458377966
43	0.6245179969	0.7442197057
44	0.6245815582	0.7438707386
45	0.6255724531	0.742705161
46	0.6261427758	0.7421957359
47	0.6267721872	0.7409699745
48	0.6274529997	0.7402672905
49	0.6282934343	0.7391294979
50	0.6290216909	0.7375067102
51	0.630711032	0.735401964
52	0.631325657	0.7340239761
53	0.6316070453	0.7327956501
54	0.6320725337	0.7321924636
55	0.6334308278	0.7312573365
56	0.6344909065	0.7303551415
57	0.6351287979	0.7292591614
58	0.6352722366	0.7287476455
59	0.6356357299	0.727818977
60	0.6370932512	0.7267014834
61	0.6374189344	0.7260614829
62	0.6374197884	0.7256510816
63	0.6375311571	0.7251575128
64	0.6380111949	0.7245740526
65	0.6385722713	0.7239650565
66	0.6388875054	0.7236677787
67	0.6389406923	0.7230019828
68	0.6402492127	0.7220166647
69	0.6406519288	0.7215204504
70	0.6413917582	0.7210465461
71	0.6419066431	0.7203890147
72	0.6432785825	0.7196101597
73	0.6432812757	0.7189683327
74	0.6438812948	0.718078004
75	0.6442246739	0.7173819586
76	0.6448062159	0.7167861712
77	0.6456751706	0.7162482002
78	0.6460086415	0.7159640211
79	0.6460522057	0.7154094658
80	0.6461266343	0.7147734871
81	0.6466949893	0.7142927503
82	0.6475748908	0.7132829812
83	0.6480671023	0.7129151957
84	0.6481587977	0.7125469688
85	0.6485147405	0.7123752785
86	0.648467315	0.7118435305
87	0.6486748574	0.7114128811
88	0.6489781417	0.7110960145
89	0.6490715171	0.7106085903
90	0.6489750436	0.7103366438
91	0.6490657502	0.709902786
92	0.6496816806	0.7095349815
93	0.6497821177	0.70913791
94	0.650372458	0.7088112337
95	0.6505162008	0.708114786
96	0.6508109593	0.7076386674
97	0.6518961263	0.7072447016
98	0.6519099585	0.7072222853
99	0.6524861572	0.7067952303
100	0.6525392119	0.7063429942
101	0.6529816249	0.7056128696
102	0.6535348362	0.7051927311
103	0.6536248043	0.7048449438
104	0.654508921	0.7042393193
105	0.6546971339	0.7037381992
106	0.6555179809	0.7033046378
107	0.6557442952	0.7028966562
108	0.6557235499	0.7024778191
109	0.6562777654	0.7018447332
110	0.6566467827	0.7015015129
111	0.6567442473	0.7010228404
112	0.6570104787	0.7007576764
113	0.6574621386	0.7003107152
114	0.6577238271	0.7002633317
115	0.6574957508	0.6999459249
116	0.6574990719	0.6995669595
117	0.6574796728	0.6995604597
118	0.6579708784	0.6990190795
119	0.6583683204	0.6988063099
120	0.6585848613	0.6985024439
121	0.6590556752	0.698077095
122	0.6592600417	0.6978167463
123	0.6596483923	0.6971775484
124	0.6597917468	0.6969557352
125	0.6596764947	0.6968501254
126	0.6599956132	0.6965476962
127	0.6604151204	0.6962527721
128	0.6607083134	0.6960861738
129	0.6609047614	0.6959471444
130	0.6609597295	0.695633904
131	0.6609390034	0.6951410855
132	0.6616033219	0.6948509934
133	0.6621523284	0.6945275228
134	0.6626639759	0.6940370755
135	0.6630638982	0.6934448335
136	0.6629778446	0.6931364194
137	0.6630483503	0.6928608337
138	0.6634898245	0.6923992331
139	0.6635030226	0.6922085959
140	0.6635317312	0.6921398574
141	0.6638332215	0.6916959943
142	0.6639291199	0.6913936331
143	0.6639317405	0.6912016129
144	0.664386346	0.6907602945
145	0.6648515724	0.6905500565
146	0.6650434487	0.6903251816
147	0.665114471	0.6900556622
148	0.6654447425	0.6898308534
149	0.6655716623	0.6894590444
150	0.6660083247	0.6891864409
151	0.666554367	0.6886588347
152	0.6664299416	0.6884379306
153	0.6663601693	0.6882609229
154	0.6665051989	0.688034674
155	0.6663822851	0.6879699081
156	0.6667129761	0.6875111301
157	0.6667490699	0.6873775632
158	0.6667299595	0.6869425994
159	0.6671209013	0.6867467942
160	0.6673333945	0.6864816742
161	0.6674717627	0.6861401793
162	0.6674525793	0.6857762447
163	0.6676232095	0.6855944217
164	0.6676717282	0.6854373118
165	0.6680591553	0.6850922329
166	0.6685134904	0.6847929421
167	0.668753862	0.6846345835
168	0.6697102444	0.684098449
169	0.6696058397	0.6837990621
170	0.6701941735	0.6834590205
171	0.6700979344	0.6832177686
172	0.670434118	0.6829028242
173	0.6707066028	0.6825326731
174	0.6707983914	0.6825166639
175	0.6706964201	0.6823294146
176	0.6710181649	0.6821226037
177	0.670849562	0.6820461813
178	0.6711762316	0.681752055
179	0.6714705716	0.6815104622
180	0.6712087131	0.6812673491
181	0.6716276755	0.6810201266
182	0.6717583041	0.6806337002
183	0.6721014479	0.6802627022
184	0.6724796051	0.6799932839
185	0.6727455369	0.6797038616
186	0.6729520646	0.6796513034
187	0.6729434023	0.6796337973
188	0.6732047078	0.6793318907
189	0.6731757057	0.6791877603
190	0.673310824	0.6789983806
191	0.673350707	0.6788211641
192	0.673648411	0.6783503866
193	0.6737247068	0.6781288805
194	0.6738736642	0.6779200501
195	0.6739022718	0.677795987
196	0.6736787494	0.6776647304
197	0.67368317	0.6774290472
198	0.673498208	0.6772550578
199	0.6734926743	0.6772494217
200	0.6742711995	0.676781033
201	0.6743183272	0.6765523723
202	0.6744795727	0.6764700131
203	0.6751126629	0.6761115475
204	0.6751576052	0.6759463929
205	0.6753900838	0.6757867645
206	0.6751036314	0.6754567383
207	0.6755100225	0.6751929865
208	0.6755586824	0.6751413091
209	0.6757084404	0.6748745691
210	0.6757235555	0.674653442
211	0.6763160344	0.6744295568
212	0.676257337	0.6739678602
213	0.6761735265	0.6739324966
214	0.6769966777	0.6736072516
215	0.6773204209	0.6734784373
216	0.6776602788	0.6733218522
217	0.6777219203	0.6731012008
218	0.6774027067	0.6728254468
219	0.6776612973	0.6726327853
220	0.67794557	0.672347359
221	0.6780606403	0.6719551714
222	0.6782596247	0.671702768
223	0.6785930987	0.6714948763
224	0.6788771941	0.6713319512
225	0.6791640585	0.6711338495
226	0.6793161051	0.6709947879
227	0.6792898334	0.6706664254
228	0.6792051721	0.6703207791
229	0.6795282175	0.6700576346
230	0.6796059849	0.66989758
231	0.6798521643	0.6695429545
232	0.6799417086	0.6694578063
233	0.6797820571	0.6692624438
234	0.6796710989	0.6691237221
235	0.6801947551	0.6688311179
236	0.6805306863	0.6684952843
237	0.6805556438	0.6682507182
238	0.6806740142	0.6681211237
239	0.6805711191	0.6679411169
240	0.6808800747	0.667583764
241	0.6812223229	0.667424829
242	0.6814540289	0.6671292288
243	0.6814507674	0.6669156899
244	0.6819072476	0.6666793529
245	0.681888767	0.6664037417
