iter	Passed	Remaining
0	156	93889
1	305	91261
2	446	88844
3	567	84591
4	711	84663
5	837	82954
6	991	84025
7	1135	84042
8	1192	78290
9	1329	78463
10	1454	77872
11	1593	78086
12	1685	76126
13	1825	76417
14	1963	76561
15	2095	76493
16	2162	74165
17	2287	73961
18	2432	74388
19	2573	74630
20	2709	74704
21	2844	74722
22	2898	72722
23	3036	72874
24	3158	72655
25	3301	72891
26	3328	70642
27	3477	71034
28	3610	71081
29	3722	70732
30	3769	69192
31	3915	69498
32	4047	69535
33	4178	69559
34	4318	69709
35	4438	69530
36	4640	70607
37	4831	71453
38	4964	71410
39	5101	71416
40	5238	71423
41	5376	71426
42	5510	71377
43	5654	71448
44	5748	70901
45	5921	71318
46	6113	71931
47	6276	72181
48	6417	72166
49	6564	72206
50	6704	72167
51	6842	72105
52	6982	72059
53	7122	72017
54	7254	71885
55	7399	71883
56	7543	71862
57	7671	71684
58	7816	71677
59	7990	71912
60	8141	71939
61	8285	71893
62	8431	71866
63	8572	71793
64	8714	71725
65	8857	71666
66	8988	71507
67	9125	71396
68	9265	71300
69	9399	71169
70	9538	71070
71	9687	71045
72	9822	70909
73	9958	70786
74	10103	70726
75	10233	70554
76	10375	70470
77	10519	70397
78	10643	70193
79	10790	70137
80	10934	70061
81	11066	69908
82	11202	69781
83	11343	69681
84	11478	69548
85	11618	69441
86	11769	69396
87	11901	69245
88	12047	69170
89	12193	69096
90	12338	69014
91	12473	68874
92	12608	68737
93	12757	68673
94	12890	68521
95	13054	68537
96	13197	68437
97	13325	68260
98	13451	68073
99	13584	67924
100	13731	67841
101	13870	67720
102	14009	67599
103	14149	67481
104	14290	67370
105	14420	67205
106	14565	67110
107	14702	66977
108	14842	66857
109	14988	66767
110	15132	66662
111	15264	66507
112	15413	66426
113	15561	66342
114	15690	66171
115	15830	66052
116	15989	66007
117	16113	65818
118	16258	65718
119	16392	65569
120	16520	65397
121	16684	65370
122	16825	65251
123	16947	65055
124	17081	64910
125	17208	64738
126	17348	64612
127	17494	64510
128	17617	64325
129	17764	64226
130	17919	64154
131	18072	64074
132	18290	64222
133	18447	64152
134	18625	64153
135	18779	64072
136	18934	63988
137	19081	63881
138	19223	63756
139	19390	63712
140	19579	63736
141	19761	63739
142	19920	63661
143	20070	63557
144	20223	63459
145	20371	63348
146	20521	63238
147	20673	63137
148	20820	63021
149	20975	62926
150	21151	62893
151	21305	62793
152	21456	62687
153	21605	62570
154	21768	62495
155	21911	62363
156	22092	62337
157	22231	62192
158	22431	62214
159	22604	62162
160	22748	62029
161	22900	61916
162	23057	61818
163	23206	61695
164	23369	61610
165	23516	61483
166	23677	61391
167	23827	61271
168	23965	61118
169	24113	60992
170	24268	60884
171	24420	60766
172	24560	60620
173	24699	60472
174	24822	60282
175	24956	60122
176	25100	59986
177	25231	59817
178	25376	59684
179	25523	59554
180	25660	59402
181	25800	59255
182	25940	59111
183	26075	58953
184	26214	58805
185	26359	58670
186	26492	58510
187	26609	58315
188	26768	58211
189	26919	58088
190	27054	57932
191	27191	57782
192	27338	57651
193	27467	57483
194	27607	57338
195	27746	57191
196	27855	56984
197	28000	56849
198	28136	56696
199	28254	56509
200	28401	56378
201	28549	56251
202	28693	56114
203	28849	56002
204	28989	55857
205	29133	55721
206	29291	55610
207	29464	55528
208	29607	55390
209	29761	55270
210	29922	55165
211	30076	55046
212	30229	54924
213	30361	54764
214	30506	54627
215	30664	54514
216	30796	54355
217	30947	54229
218	31110	54122
219	31268	54008
220	31425	53892
221	31581	53774
222	31728	53640
223	31879	53512
224	32015	53358
225	32162	53223
226	32299	53073
227	32444	52936
228	32588	52796
229	32737	52664
230	32894	52545
231	33086	52481
232	33226	52334
233	33369	52193
234	33510	52048
235	33663	51921
236	33792	51757
237	33944	51630
238	34080	51477
239	34377	51566
240	34547	51463
241	34695	51325
242	34847	51194
243	34988	51049
244	35135	50910
245	35288	50781
246	35434	50641
247	35589	50514
248	35726	50361
249	35876	50227
250	36015	50077
251	36169	49948
252	36331	49830
253	36469	49679
254	36603	49522
255	36760	49396
256	36903	49252
257	37054	49118
258	37224	49009
259	37388	48892
260	37537	48755
261	37678	48608
262	37813	48453
263	37959	48311
264	38127	48198
265	38283	48070
266	38437	47939
267	38578	47791
268	38711	47633
269	38852	47486
270	39012	47361
271	39145	47204
272	39271	47039
273	39414	46894
274	39547	46738
275	39697	46601
276	39835	46450
277	39980	46308
278	40115	46154
279	40265	46018
280	40413	45879
281	40624	45810
282	40826	45731
283	40969	45585
284	41113	45440
285	41231	45268
286	41377	45126
287	41510	44969
288	41642	44812
289	41833	44718
290	41990	44588
291	42131	44439
292	42273	44293
293	42423	44155
294	42571	44014
295	42716	43870
296	42856	43722
297	42992	43569
298	43199	43487
299	43356	43356
300	43506	43217
301	43631	43053
302	43771	42905
303	43910	42755
304	44059	42614
305	44214	42481
306	44360	42337
307	44508	42196
308	44651	42050
309	44795	41905
310	44936	41757
311	45085	41617
312	45235	41477
313	45373	41327
314	45524	41188
315	45669	41044
316	45837	40921
317	45991	40784
318	46150	40652
319	46290	40504
320	46429	40354
321	46571	40207
322	46717	40064
323	46866	39923
324	47003	39772
325	47150	39629
326	47285	39476
327	47427	39330
328	47563	39178
329	47700	39027
330	47829	38870
331	47977	38729
332	48109	38574
333	48258	38433
334	48419	38302
335	48553	38148
336	48686	37995
337	48847	37864
338	48981	37711
339	49137	37576
340	49275	37426
341	49415	37278
342	49550	37127
343	49691	36979
344	49834	36834
345	49960	36676
346	50091	36522
347	50226	36371
348	50365	36222
349	50509	36077
350	50644	35927
351	50777	35775
352	50921	35630
353	51089	35502
354	51260	35376
355	51401	35230
356	51538	35080
357	51699	34947
358	51829	34793
359	51985	34657
360	52141	34520
361	52281	34373
362	52403	34213
363	52542	34066
364	52680	33917
365	52813	33765
366	52950	33617
367	53100	33476
368	53242	33330
369	53375	33179
370	53510	33029
371	53650	32882
372	53789	32735
373	53922	32584
374	54059	32435
375	54200	32289
376	54357	32153
377	54497	32006
378	54624	31852
379	54775	31711
380	54915	31565
381	55044	31412
382	55178	31263
383	55325	31120
384	55467	30975
385	55619	30835
386	55761	30690
387	55914	30551
388	56063	30409
389	56215	30269
390	56367	30130
391	56513	29986
392	56662	29844
393	56813	29704
394	56953	29558
395	57097	29414
396	57245	29271
397	57386	29125
398	57528	28980
399	57658	28829
400	57808	28688
401	57954	28544
402	58086	28394
403	58236	28253
404	58380	28109
405	58528	27966
406	58662	27817
407	58804	27672
408	58952	27530
409	59089	27383
410	59225	27234
411	59361	27087
412	59505	26943
413	59647	26798
414	59791	26654
415	59926	26505
416	60075	26363
417	60210	26216
418	60336	26064
419	60470	25915
420	60621	25774
421	60751	25625
422	60864	25468
423	61017	25328
424	61154	25181
425	61285	25032
426	61499	24916
427	61661	24779
428	61798	24632
429	61929	24483
430	62074	24340
431	62219	24196
432	62349	24047
433	62487	23900
434	62624	23754
435	62759	23606
436	62897	23460
437	63034	23314
438	63194	23176
439	63338	23032
440	63495	22892
441	63632	22746
442	63774	22601
443	63909	22454
444	64044	22307
445	64183	22161
446	64320	22015
447	64466	21872
448	64610	21728
449	64749	21583
450	64900	21441
451	65031	21293
452	65160	21144
453	65294	20997
454	65437	20853
455	65563	20704
456	65709	20561
457	65865	20421
458	65994	20272
459	66131	20126
460	66286	19986
461	66423	19840
462	66584	19702
463	66744	19563
464	66881	19417
465	67028	19274
466	67173	19130
467	67315	18986
468	67457	18842
469	67594	18696
470	67741	18553
471	67877	18407
472	68021	18263
473	68159	18118
474	68301	17974
475	68422	17824
476	68596	17688
477	68752	17547
478	68903	17405
479	69049	17262
480	69190	17117
481	69327	16972
482	69474	16829
483	69627	16687
484	69769	16543
485	69905	16397
486	70046	16253
487	70193	16109
488	70339	15966
489	70466	15819
490	70609	15675
491	70773	15535
492	70923	15393
493	71059	15247
494	71212	15105
495	71367	14964
496	71505	14819
497	71637	14672
498	71777	14528
499	71931	14386
500	72088	14245
501	72247	14104
502	72398	13961
503	72540	13817
504	72674	13671
505	72828	13529
506	72966	13384
507	73099	13238
508	73238	13093
509	73374	12948
510	73507	12802
511	73641	12657
512	73777	12512
513	73931	12369
514	74069	12225
515	74207	12080
516	74342	11935
517	74544	11800
518	74686	11656
519	74850	11515
520	74996	11371
521	75136	11227
522	75268	11081
523	75415	10938
524	75558	10794
525	75681	10647
526	75828	10503
527	75969	10359
528	76088	10212
529	76227	10067
530	76367	9923
531	76515	9780
532	76653	9635
533	76798	9491
534	76931	9346
535	77079	9203
536	77244	9062
537	77395	8919
538	77527	8773
539	77669	8629
540	77823	8487
541	77955	8342
542	78103	8198
543	78256	8055
544	78406	7912
545	78535	7767
546	78677	7623
547	78823	7479
548	78961	7335
549	79094	7190
550	79241	7046
551	79383	6902
552	79522	6758
553	79677	6615
554	79814	6471
555	79952	6327
556	80104	6184
557	80246	6040
558	80378	5895
559	80517	5751
560	80652	5606
561	80793	5462
562	80932	5318
563	81065	5174
564	81204	5030
565	81352	4886
566	81489	4742
567	81625	4598
568	81765	4454
569	81905	4310
570	82033	4166
571	82175	4022
572	82310	3878
573	82443	3734
574	82603	3591
575	82751	3447
576	82904	3304
577	83039	3160
578	83179	3016
579	83322	2873
580	83467	2729
581	83601	2585
582	83744	2441
583	83887	2298
584	84016	2154
585	84159	2010
586	84300	1866
587	84440	1723
588	84578	1579
589	84715	1435
590	84862	1292
591	85017	1148
592	85162	1005
593	85304	861
594	85507	718
595	85676	575
596	85807	431
597	85931	287
598	86069	143
599	86192	0
